agent_id,age_group,work_status,medical_need_level,day_of_week,is_weekend,activity_id,activity_sequence,sequence_order,activity_purpose,home_zone,destination_zone,planned_start_datetime,planned_end_datetime,is_mandatory,baseline_cancel_probability,weather_scenario,day_type,weather_type,departure_time,weather_exposed,remote_work_applicable,remote_work_probability_source,p_remote_work,remote_work_draw,remote_work,p_weather_cancel,weather_cancel_draw,weather_cancellation,travel_required,final_status,completed,transport_unmet,transport_succeeded,activity_completed,actual_arrival_time,arrival_delay_minutes,on_time_arrival
10,18-39,regular_worker,,Saturday,True,activity-10-2026-07-11-009,9,1,medical,Z5,Z5,2026-07-11 12:00:00,2026-07-11 16:00:00,True,0.01,W0,rest_day,normal,2026-07-11 11:25:00,False,False,not_applicable,0.0,0.7279414866736337,False,0.0,0.23041831473079175,False,True,completed,True,False,True,True,2026-07-11 11:50:00,0.0,True
11,18-39,regular_worker,,Saturday,True,activity-11-2026-07-11-008,8,1,social_leisure,Z5,Z5,2026-07-11 10:30:00,2026-07-11 12:30:00,False,0.24,W0,rest_day,normal,2026-07-11 10:00:00,False,False,not_applicable,0.0,0.5038366742042173,False,0.0,0.18349879753460435,False,True,completed,True,False,True,True,2026-07-11 10:20:00,0.0,True
11,18-39,regular_worker,,Saturday,True,activity-11-2026-07-11-009,9,2,shopping,Z5,Z5,2026-07-11 14:00:00,2026-07-11 16:00:00,False,0.15,W0,rest_day,normal,2026-07-11 13:45:00,False,False,not_applicable,0.0,0.6807956214062689,False,0.0,0.9216629000371525,False,True,completed,True,False,True,True,2026-07-11 13:57:00,0.0,True
11,18-39,regular_worker,,Saturday,True,activity-11-2026-07-11-010,10,3,social_leisure,Z5,Z5,2026-07-11 19:30:00,2026-07-11 22:30:00,False,0.24,W0,rest_day,normal,2026-07-11 19:10:00,False,False,not_applicable,0.0,0.9589831795183094,False,0.0,0.3468762818075061,False,True,completed,True,False,True,True,2026-07-11 19:22:04.680000,0.0,True
12,18-39,regular_worker,,Saturday,True,activity-12-2026-07-11-007,7,1,social_leisure,Z5,Z5,2026-07-11 12:30:00,2026-07-11 14:30:00,False,0.24,W0,rest_day,normal,2026-07-11 12:15:00,False,False,not_applicable,0.0,0.40663361211865684,False,0.0,0.9762223743219218,False,True,completed,True,False,True,True,2026-07-11 12:22:00,0.0,True
12,18-39,regular_worker,,Saturday,True,activity-12-2026-07-11-008,8,2,shopping,Z5,Z7,2026-07-11 16:00:00,2026-07-11 17:00:00,False,0.15,W0,rest_day,normal,2026-07-11 15:00:00,False,False,not_applicable,0.0,0.9370847345373552,False,0.0,0.1352412848146199,False,True,completed,True,False,True,True,2026-07-11 15:52:54.145260,0.0,True
13,18-39,regular_worker,,Saturday,True,activity-13-2026-07-11-009,9,1,social_leisure,Z2,Z2,2026-07-11 09:00:00,2026-07-11 11:00:00,False,0.24,W0,rest_day,normal,2026-07-11 08:25:00,False,False,not_applicable,0.0,0.4881947286304092,False,0.0,0.3176378165960283,False,True,completed,True,False,True,True,2026-07-11 08:50:00,0.0,True
13,18-39,regular_worker,,Saturday,True,activity-13-2026-07-11-010,10,2,out_of_home_family_activity,Z2,Z3,2026-07-11 14:00:00,2026-07-11 16:00:00,False,0.12,W0,rest_day,normal,2026-07-11 13:05:00,False,False,not_applicable,0.0,0.8278470966418354,False,0.0,0.5595616067341411,False,True,completed,True,False,True,True,2026-07-11 13:55:00,0.0,True
13,18-39,regular_worker,,Saturday,True,activity-13-2026-07-11-011,11,3,visit,Z2,Z3,2026-07-11 20:30:00,2026-07-11 22:30:00,False,0.16,W0,rest_day,normal,2026-07-11 19:45:00,False,False,not_applicable,0.0,0.680688661428857,False,0.0,0.24354585402356746,False,True,completed,True,False,True,True,2026-07-11 20:20:36.967440,0.0,True
14,18-39,regular_worker,,Saturday,True,activity-14-2026-07-11-008,8,1,shopping,Z6,Z3,2026-07-11 15:30:00,2026-07-11 16:30:00,False,0.15,W0,rest_day,normal,2026-07-11 14:35:00,False,False,not_applicable,0.0,0.45539515541014736,False,0.0,0.7682560008333018,False,True,completed,True,False,True,True,2026-07-11 15:20:00,0.0,True
14,18-39,regular_worker,,Saturday,True,activity-14-2026-07-11-009,9,2,shopping,Z6,Z6,2026-07-11 18:00:00,2026-07-11 19:00:00,False,0.15,W0,rest_day,normal,2026-07-11 17:05:00,False,False,not_applicable,0.0,0.3394328923582497,False,0.0,0.0613156886218883,False,True,completed,True,False,True,True,2026-07-11 17:50:37.049340,0.0,True
15,18-39,regular_worker,,Saturday,True,activity-15-2026-07-11-008,8,1,social_leisure,Z7,Z5,2026-07-11 13:30:00,2026-07-11 15:30:00,False,0.24,W0,rest_day,normal,2026-07-11 12:30:00,False,False,not_applicable,0.0,0.38200024268483523,False,0.0,0.83912040380059,False,True,completed,True,False,True,True,2026-07-11 13:20:00,0.0,True
16,18-39,regular_worker,,Saturday,True,activity-16-2026-07-11-008,8,1,social_leisure,Z1,Z1,2026-07-11 09:30:00,2026-07-11 11:30:00,False,0.24,W0,rest_day,normal,2026-07-11 09:10:00,False,False,not_applicable,0.0,0.47884330989228435,False,0.0,0.25483401820237356,False,True,completed,True,False,True,True,2026-07-11 09:20:00,0.0,True
16,18-39,regular_worker,,Saturday,True,activity-16-2026-07-11-009,9,2,social_leisure,Z1,Z7,2026-07-11 14:00:00,2026-07-11 18:00:00,False,0.24,W0,rest_day,normal,2026-07-11 13:00:00,False,False,not_applicable,0.0,0.10973628781139823,False,0.0,0.015224314466483395,False,True,completed,True,False,True,True,2026-07-11 13:50:00,0.0,True
16,18-39,regular_worker,,Saturday,True,activity-16-2026-07-11-010,10,3,visit,Z1,Z5,2026-07-11 19:30:00,2026-07-11 22:30:00,False,0.16,W0,rest_day,normal,2026-07-11 18:30:00,False,False,not_applicable,0.0,0.08352324395715781,False,0.0,0.3145376993639845,False,True,completed,True,False,True,True,2026-07-11 19:25:00,0.0,True
18,18-39,regular_worker,,Saturday,True,activity-18-2026-07-11-008,8,1,social_leisure,Z7,Z7,2026-07-11 09:30:00,2026-07-11 13:30:00,False,0.24,W0,rest_day,normal,2026-07-11 08:50:00,False,False,not_applicable,0.0,0.38242839983932697,False,0.0,0.5460683834431468,False,True,completed,True,False,True,True,2026-07-11 09:25:00,0.0,True
