seed,preference_scenario,weather_scenario,group,agent_count,successful_legs,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_requests_per_100_agents,ride_hailing_mode_share,mean_ride_hailing_wait_minutes,necessary_activity_completion_rate,transport_related_unmet,total_outdoor_exposure_minutes,total_heat_risk_burden,metro_legs,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,exposed_travel_required_necessary_activities,completed_exposed_travel_required_necessary_activities,exposed_travel_required_necessary_completion_rate,exposed_necessary_ride_hailing_legs,exposed_necessary_ride_hailing_mode_share,exposed_necessary_outdoor_exposure_minutes,exposed_necessary_heat_risk_burden,exposed_necessary_rain_exposure_minutes,exposed_necessary_bus_metro_transfer_legs,exposed_necessary_bus_metro_transfer_share
55,J_final_candidate,W1,40-59,66,134,7,7,0,10.606061,0.052239,8.646857,0.904762,0,2572.423,18117.809604,63,33,0.52381,2,2,1.0,0,0.0,68.286,734.877734,0.0,0,0.0
55,J_final_candidate,W1,60+,54,70,2,2,0,3.703704,0.028571,9.0,1.0,0,1185.842,16104.509199,10,3,0.3,4,4,1.0,0,0.0,125.5,2058.16,0.0,0,0.0
55,J_final_candidate,W1,60+_digital,26,35,2,2,0,7.692308,0.057143,9.0,1.0,0,614.163,8426.081733,6,2,0.333333,2,2,1.0,0,0.0,68.0,1111.76,0.0,0,0.0
55,J_final_candidate,W1,60+_nondigital_assisted,17,23,0,0,0,0.0,0.0,,1.0,0,375.065,5012.884933,2,0,0.0,1,1,1.0,0,0.0,27.5,468.0,0.0,0,0.0
55,J_final_candidate,W1,60+_nondigital_unassisted,11,12,0,0,0,0.0,0.0,,1.0,0,196.614,2665.542533,2,1,0.5,1,1,1.0,0,0.0,30.0,478.4,0.0,0,0.0
55,J_final_candidate,W1,60+_medical_low,15,23,0,0,0,0.0,0.0,,1.0,0,382.234,4837.186466,3,1,0.333333,0,0,,0,,0,0,0,0,
55,J_final_candidate,W1,60+_medical_standard,34,41,2,2,0,5.882353,0.04878,9.0,1.0,0,706.608,9590.9944,7,2,0.285714,2,2,1.0,0,0.0,58.5,976.451667,0.0,0,0.0
55,J_final_candidate,W1,60+_medical_high,5,6,0,0,0,0.0,0.0,,1.0,0,97.0,1676.328333,0,0,,2,2,1.0,0,0.0,67.0,1081.708333,0.0,0,0.0
55,J_final_candidate,W1,60+_digital_medical_low,3,4,0,0,0,0.0,0.0,,,0,74.769,912.0332,0,0,,0,0,,0,,0,0,0,0,
55,J_final_candidate,W1,60+_digital_medical_standard,22,29,2,2,0,9.090909,0.068966,9.0,1.0,0,502.394,6910.7402,6,2,0.333333,1,1,1.0,0,0.0,31.0,508.451667,0.0,0,0.0
55,J_final_candidate,W1,60+_digital_medical_high,1,2,0,0,0,0.0,0.0,,1.0,0,37.0,603.308333,0,0,,1,1,1.0,0,0.0,37.0,603.308333,0.0,0,0.0
55,J_final_candidate,W2,18-39,80,172,36,36,0,45.0,0.209302,10.806028,0.958904,0,3417.503,0.0,92,47,0.51087,63,61,0.968254,22,0.192982,2338.101,0.0,2079.265345,40,0.350877
