preference_scenario,weather_scenario,metric,seed_count,mean,std_dev,minimum,maximum,group
J_final_candidate,W0,ride_hailing_requests,10,0.7,0.823273,0.0,2.0,60+_digital_medical_standard
J_final_candidate,W0,successful_ride_hailing_requests,10,0.7,0.823273,0.0,2.0,60+_digital_medical_standard
J_final_candidate,W0,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,60+_digital_medical_standard
J_final_candidate,W0,ride_hailing_requests_per_100_agents,10,4.568524,5.60381,0.0,14.285714,60+_digital_medical_standard
J_final_candidate,W0,ride_hailing_mode_share,10,0.029772,0.035164,0.0,0.095238,60+_digital_medical_standard
J_final_candidate,W0,mean_ride_hailing_wait_minutes,5,8.2,1.095445,7.0,10.0,60+_digital_medical_standard
J_final_candidate,W0,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,60+_digital_medical_standard
J_final_candidate,W0,transport_related_unmet,10,0.0,0.0,0.0,0.0,60+_digital_medical_standard
J_final_candidate,W0,total_outdoor_exposure_minutes,10,376.9413,85.660084,246.857,530.394,60+_digital_medical_standard
J_final_candidate,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_digital_medical_standard
J_final_candidate,W0,exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_digital_medical_standard
J_final_candidate,W0,completed_exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_digital_medical_standard
J_final_candidate,W0,exposed_necessary_ride_hailing_legs,10,0.0,0.0,0.0,0.0,60+_digital_medical_standard
J_final_candidate,W0,exposed_necessary_outdoor_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_digital_medical_standard
J_final_candidate,W0,exposed_necessary_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_digital_medical_standard
J_final_candidate,W0,exposed_necessary_rain_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_digital_medical_standard
J_final_candidate,W0,metro_legs,10,2.9,1.523884,1.0,6.0,60+_digital_medical_standard
J_final_candidate,W0,bus_metro_transfer_legs,10,1.0,1.154701,0.0,3.0,60+_digital_medical_standard
J_final_candidate,W0,bus_metro_transfer_share_of_metro,10,0.333333,0.390868,0.0,1.0,60+_digital_medical_standard
J_final_candidate,W0,exposed_necessary_bus_metro_transfer_legs,10,0.0,0.0,0.0,0.0,60+_digital_medical_standard
J_final_candidate,W0,agent_count,10,5.2,2.20101,2.0,10.0,60+_medical_high
J_final_candidate,W0,successful_legs,10,7.9,2.726414,4.0,11.0,60+_medical_high
J_final_candidate,W0,ride_hailing_requests,10,0.2,0.632456,0.0,2.0,60+_medical_high
J_final_candidate,W0,successful_ride_hailing_requests,10,0.2,0.632456,0.0,2.0,60+_medical_high
J_final_candidate,W0,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,60+_medical_high
J_final_candidate,W0,ride_hailing_requests_per_100_agents,10,4.0,12.649111,0.0,40.0,60+_medical_high
J_final_candidate,W0,ride_hailing_mode_share,10,0.018182,0.057496,0.0,0.181818,60+_medical_high
J_final_candidate,W0,mean_ride_hailing_wait_minutes,1,6.0,0.0,6.0,6.0,60+_medical_high
J_final_candidate,W0,necessary_activity_completion_rate,9,1.0,0.0,1.0,1.0,60+_medical_high
J_final_candidate,W0,transport_related_unmet,10,0.0,0.0,0.0,0.0,60+_medical_high
J_final_candidate,W0,total_outdoor_exposure_minutes,10,147.2407,57.226876,61.0,212.0,60+_medical_high
J_final_candidate,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_medical_high
J_final_candidate,W0,exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_medical_high
J_final_candidate,W0,completed_exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_medical_high
J_final_candidate,W0,exposed_necessary_ride_hailing_legs,10,0.0,0.0,0.0,0.0,60+_medical_high
J_final_candidate,W0,exposed_necessary_outdoor_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_medical_high
J_final_candidate,W0,exposed_necessary_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_medical_high
J_final_candidate,W0,exposed_necessary_rain_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_medical_high
J_final_candidate,W0,metro_legs,10,0.6,0.699206,0.0,2.0,60+_medical_high
J_final_candidate,W0,bus_metro_transfer_legs,10,0.2,0.421637,0.0,1.0,60+_medical_high
J_final_candidate,W0,bus_metro_transfer_share_of_metro,5,0.4,0.547723,0.0,1.0,60+_medical_high
J_final_candidate,W0,exposed_necessary_bus_metro_transfer_legs,10,0.0,0.0,0.0,0.0,60+_medical_high
J_final_candidate,W0,agent_count,10,19.0,4.944132,13.0,28.0,60+_medical_low
J_final_candidate,W0,successful_legs,10,28.5,7.074995,19.0,42.0,60+_medical_low
J_final_candidate,W0,ride_hailing_requests,10,0.4,0.516398,0.0,1.0,60+_medical_low
J_final_candidate,W0,successful_ride_hailing_requests,10,0.4,0.516398,0.0,1.0,60+_medical_low
J_final_candidate,W0,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,60+_medical_low
J_final_candidate,W0,ride_hailing_requests_per_100_agents,10,2.40812,3.229223,0.0,7.692308,60+_medical_low
J_final_candidate,W0,ride_hailing_mode_share,10,0.014692,0.020056,0.0,0.052632,60+_medical_low
J_final_candidate,W0,mean_ride_hailing_wait_minutes,4,10.66675,3.266122,8.0,14.667,60+_medical_low
J_final_candidate,W0,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,60+_medical_low
J_final_candidate,W0,transport_related_unmet,10,0.0,0.0,0.0,0.0,60+_medical_low
