leg_id,agent_id,date,day,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,final_attempt_departure_time,primary_mode,primary_failed,primary_failure_reason,fallback_attempted,fallback_succeeded,final_mode,transport_succeeded,wait_minutes,failed_attempt_consumed_minutes,cumulative_wait_minutes,access_time_min,transfer_time_min,in_vehicle_time_min,total_travel_time_min,fare_yuan,final_speed_kmh,scenario_vc,weather_type_at_departure,weather_scenario,day_type,policy,outdoor_exposure_minutes,heat_hazard_dose_c_min,age_vulnerability_weight,heat_risk_burden,rain_exposure_minutes
17-2026-07-07-L02,17,2026-07-07,Tuesday,between_activities,activity-17-2026-07-07-004,shopping,Z2,Z2,2026-07-07 19:10:00,2026-07-07 19:10:00,ride_hailing,False,,False,False,ride_hailing,True,8.0,0.0,8.0,2.0,0.0,9.816,19.816,18.22,27.896,0.681928,normal,W0,workday,P0_no_policy,8.0,0.0,1.0,0.0,0.0
17-2026-07-07-L03,17,2026-07-07,Tuesday,return_home,activity-17-2026-07-07-004,return_home,Z2,Z8,2026-07-07 21:00:00,2026-07-07 21:00:00,metro,False,,False,False,metro,True,6.0,0.0,6.0,13.0,0.0,17.408,36.408,4.0,35.0,,normal,W0,workday,P0_no_policy,19.0,0.0,1.0,0.0,0.0
18-2026-07-07-L01,18,2026-07-07,Tuesday,outbound,activity-18-2026-07-07-002,work,Z7,Z1,2026-07-07 07:30:00,2026-07-07 07:30:00,metro,False,,False,False,metro,True,3.0,0.0,3.0,10.0,0.0,30.0,43.0,5.0,35.0,,normal,W0,workday,P0_no_policy,13.0,0.0,1.0,0.0,0.0
18-2026-07-07-L02,18,2026-07-07,Tuesday,return_home,activity-18-2026-07-07-002,return_home,Z1,Z7,2026-07-07 18:00:00,2026-07-07 18:00:00,metro,False,,False,False,metro,True,4.5,0.0,4.5,10.0,0.0,30.0,44.5,5.0,35.0,,normal,W0,workday,P0_no_policy,14.5,0.0,1.0,0.0,0.0
19-2026-07-07-L01,19,2026-07-07,Tuesday,outbound,activity-19-2026-07-07-004,social_leisure,Z3,Z2,2026-07-07 09:35:00,2026-07-07 09:35:00,metro,False,,False,False,metro,True,3.2,0.0,3.2,10.0,8.0,25.986,47.186,4.0,35.0,,normal,W0,workday,P0_no_policy,13.2,0.0,1.0,0.0,0.0
19-2026-07-07-L02,19,2026-07-07,Tuesday,return_home,activity-19-2026-07-07-004,return_home,Z2,Z3,2026-07-07 20:30:00,2026-07-07 20:30:00,metro,False,,False,False,metro,True,6.0,0.0,6.0,10.0,9.0,25.986,50.986,4.0,35.0,,normal,W0,workday,P0_no_policy,16.0,0.0,1.0,0.0,0.0
2-2026-07-07-L01,2,2026-07-07,Tuesday,outbound,activity-2-2026-07-07-003,work,Z7,Z7,2026-07-07 09:40:00,2026-07-07 09:40:00,metro,False,,False,False,metro,True,3.2,0.0,3.2,10.0,0.0,24.473,37.673,4.0,35.0,,normal,W0,workday,P0_no_policy,13.2,0.0,1.0,0.0,0.0
2-2026-07-07-L02,2,2026-07-07,Tuesday,return_home,activity-2-2026-07-07-003,return_home,Z7,Z7,2026-07-07 19:30:00,2026-07-07 19:30:00,bus,False,,False,False,bus,True,4.8,0.0,4.8,12.0,0.0,54.413,71.213,2.0,17.316,0.682484,normal,W0,workday,P0_no_policy,16.8,0.0,1.0,0.0,0.0
20-2026-07-07-L01,20,2026-07-07,Tuesday,outbound,activity-20-2026-07-07-003,work,Z2,Z3,2026-07-07 09:35:00,2026-07-07 09:35:00,metro,False,,False,False,metro,True,3.2,0.0,3.2,10.0,8.0,25.986,47.186,4.0,35.0,,normal,W0,workday,P0_no_policy,13.2,0.0,1.0,0.0,0.0
20-2026-07-07-L02,20,2026-07-07,Tuesday,return_home,activity-20-2026-07-07-003,return_home,Z3,Z2,2026-07-07 18:30:00,2026-07-07 18:30:00,metro,False,,False,False,metro,True,4.5,0.0,4.5,10.0,9.193,25.986,49.679,4.0,35.0,,normal,W0,workday,P0_no_policy,14.5,0.0,1.0,0.0,0.0
