seed,day_type,vehicle_id,current_zone,status,busy_until,destination_zone,weather_scenario,policy,experiment_condition
48,workday,N9RH-workday-Z7-004,Z7,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z7-005,Z7,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z7-006,Z7,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z7-007,Z7,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z7-008,Z7,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z8-001,Z8,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z8-002,Z8,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z8-003,Z8,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z8-004,Z8,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z9-001,Z6,idle,529.9989266666666,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z9-002,Z6,idle,586.1129609999999,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z9-003,Z9,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z9-004,Z9,idle,0.0,,W0,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z1-001,Z3,idle,1251.889776,,W1,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z1-002,Z2,idle,1368.526752,,W1,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z1-003,Z1,idle,0.0,,W1,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z1-004,Z1,idle,0.0,,W1,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z1-005,Z1,idle,0.0,,W1,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z1-006,Z1,idle,0.0,,W1,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z1-007,Z1,idle,0.0,,W1,P0_no_policy,P0_baseline
