agent_id,day_type,age_group,digital_access,family_assistance,nondigital_unassisted,coupon_policy,coupon_eligible,coupon_reached,coupon_participated,coupon_awarded,public_coupon_participated,elder_reserve_reached,coupon_pool_type,coupon_allocation_rank,coupon_access_channel,public_participation_probability,public_participation_draw,public_dispatch_rank,elder_reserve_rank,community_phone_covered,community_phone_coverage_draw,pg_official_parent_agent_class,pg_adapter_agent_class,pg_num_rounds,pg_initial_endowment,pg_public_pool_multiplier,pg_round_contributions,pg_final_contribution,pg_total_contribution,pg_cumulative_payoff,pg_need_score,pg_cooperation_score,pg_priority_score,pg_peer_feedback_source_count,pg_peer_signal_round_2,pg_peer_signal_round_3,pg_linked_decision,pg_physical_coupon_pool,pg_coupons_created_by_multiplier,pg_allocation_reason,pg_api_round_one_called,pg_api_round_one_succeeded,pg_api_contribution_tokens,pg_api_response_source
534,workday,40-59,True,False,False,C4_public_goods,True,True,True,True,True,False,public_goods,123,digital_self,0.65,0.20145539640040805,0.11138446051533879,,False,0.27053463810907563,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,need_and_cooperation_priority,True,True,12,live_api
535,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.6982277095620619,,,False,0.46362022698035205,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
536,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.8604671020527815,,,False,0.7799522689005621,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
537,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.7854057453276072,,,False,0.03130042093248969,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
538,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.7346559396652227,,,False,0.13196300581496687,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
539,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.8755252629983805,,,False,0.6303536556942501,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
540,workday,40-59,True,False,False,C4_public_goods,True,True,True,True,True,False,public_goods,124,digital_self,0.65,0.4556788907813334,0.11311687016514634,,False,0.39898119505226926,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,need_and_cooperation_priority,True,True,12,live_api
541,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.9265436849370642,,,False,0.7721054497225658,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
542,workday,40-59,True,False,False,C4_public_goods,True,True,True,True,True,False,public_goods,115,digital_self,0.65,0.5045191824560314,0.08660237103190721,,False,0.6487385564694319,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,need_and_cooperation_priority,True,True,12,live_api
543,workday,40-59,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.65,0.4702774627502237,0.847853463333291,,False,0.886444035068508,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,below_priority_cutoff,True,True,12,live_api
