seed,policy,weather_scenario,day_type,group,agent_count,coupon_reached,coupon_participated,coupon_awarded,coupon_redeemed,coupon_induced_requests,coupon_subsidy_yuan,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,mean_ride_hailing_wait_minutes_per_request,fallback_attempts,transport_unmet,mandatory_activity_incomplete,necessary_activity_completion_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,total_outdoor_exposure_minutes,total_heat_risk_burden
50,C2_elder_limited,W0,workday,60+_nondigital_assisted,6,6,0,5,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,9,1,0,166.514,0.0
50,C2_elder_limited,W0,workday,60+_nondigital_unassisted,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,1,0,59.0,0.0
50,C2_elder_limited,W2,workday,18-39,20,0,0,0,0,0,0.0,8,8,0,9.66675,0,0,1,0.944444,1,7,28,8,1074.551,0.0
50,C2_elder_limited,W2,workday,40-59,17,0,0,0,0,0,0.0,2,2,0,9.6665,0,0,0,1.0,0,10,20,2,707.917,0.0
50,C2_elder_limited,W2,workday,60+_digital,6,6,0,5,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,6,2,0,188.466,0.0
50,C2_elder_limited,W2,workday,60+_nondigital_assisted,6,6,0,5,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,8,2,0,174.572,0.0
50,C2_elder_limited,W2,workday,60+_nondigital_unassisted,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,1,0,59.0,0.0
50,C3_mixed,W0,workday,18-39,20,20,16,6,4,2,23.77,8,8,0,9.276875,0,0,1,0.944444,1,13,28,8,1159.848,0.0
50,C3_mixed,W0,workday,40-59,17,17,8,0,0,0,0.0,1,1,0,10.0,0,0,0,1.0,0,21,13,1,689.534,0.0
50,C3_mixed,W0,workday,60+_digital,6,6,5,2,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,7,1,0,171.966,0.0
50,C3_mixed,W0,workday,60+_nondigital_assisted,6,6,3,2,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,9,1,0,166.514,0.0
50,C3_mixed,W0,workday,60+_nondigital_unassisted,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,1,0,59.0,0.0
50,C3_mixed,W2,workday,18-39,20,20,16,6,4,1,23.77,9,9,0,9.481556,0,0,1,0.944444,1,7,27,9,1052.351,0.0
50,C3_mixed,W2,workday,40-59,17,17,8,0,0,0,0.0,2,2,0,9.6665,0,0,0,1.0,0,10,20,2,707.917,0.0
50,C3_mixed,W2,workday,60+_digital,6,6,5,2,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,6,2,0,188.466,0.0
50,C3_mixed,W2,workday,60+_nondigital_assisted,6,6,3,2,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,8,2,0,174.572,0.0
50,C3_mixed,W2,workday,60+_nondigital_unassisted,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,1,0,59.0,0.0
51,C0_no_coupon,W0,workday,18-39,20,0,0,0,0,0,0.0,5,5,0,10.0002,0,0,1,0.944444,2,18,20,5,956.093,0.0
51,C0_no_coupon,W0,workday,40-59,17,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,13,19,0,743.694,0.0
51,C0_no_coupon,W0,workday,60+_digital,6,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,6,0,0,82.58,0.0
51,C0_no_coupon,W0,workday,60+_nondigital_assisted,4,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,3,2,0,103.714,0.0
51,C0_no_coupon,W0,workday,60+_nondigital_unassisted,3,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,2,0,0,44.0,0.0
51,C0_no_coupon,W2,workday,18-39,20,0,0,0,0,0,0.0,14,14,0,12.694034,0,0,1,0.944444,0,9,21,14,864.607,0.0
51,C0_no_coupon,W2,workday,40-59,17,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,8,24,0,818.213,0.0
51,C0_no_coupon,W2,workday,60+_digital,6,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,5,1,0,96.94,0.0
