policy,weather_scenario,group,metric,seed_count,mean,std_dev,median,minimum,maximum
C1_public_limited,W0,60+_digital,coupon_awarded,10,1.0,0.666667,1.0,0.0,2.0
C1_public_limited,W0,60+_digital,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_digital,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_digital,ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0
C1_public_limited,W0,60+_digital,successful_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0
C1_public_limited,W0,60+_digital,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_digital,mean_ride_hailing_wait_minutes_per_request,10,1.1,3.478505,0.0,0.0,11.0
C1_public_limited,W0,60+_digital,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_digital,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_digital,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_digital,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C1_public_limited,W0,60+_digital,total_outdoor_exposure_minutes,10,175.6338,66.746813,185.971,82.58,273.405
C1_public_limited,W0,60+_digital,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_assisted,coupon_awarded,10,0.7,0.674949,1.0,0.0,2.0
C1_public_limited,W0,60+_nondigital_assisted,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_assisted,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_assisted,ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_assisted,successful_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_assisted,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_assisted,mean_ride_hailing_wait_minutes_per_request,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_assisted,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_assisted,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_assisted,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_assisted,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C1_public_limited,W0,60+_nondigital_assisted,total_outdoor_exposure_minutes,10,128.7746,57.153246,132.714,39.791,219.415
C1_public_limited,W0,60+_nondigital_assisted,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_unassisted,coupon_awarded,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_unassisted,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_unassisted,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_unassisted,ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_unassisted,successful_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_unassisted,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_unassisted,mean_ride_hailing_wait_minutes_per_request,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_unassisted,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_unassisted,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_unassisted,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W0,60+_nondigital_unassisted,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C1_public_limited,W0,60+_nondigital_unassisted,total_outdoor_exposure_minutes,10,74.2013,46.962673,64.857,0.0,169.954
C1_public_limited,W0,60+_nondigital_unassisted,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W2,18-39,coupon_awarded,10,5.0,1.699673,5.0,1.0,7.0
C1_public_limited,W2,18-39,coupon_redeemed,10,2.4,1.429841,2.5,0.0,4.0
C1_public_limited,W2,18-39,coupon_induced_requests,10,1.0,1.054093,1.0,0.0,3.0
C1_public_limited,W2,18-39,ride_hailing_requests,10,9.9,1.791957,9.5,8.0,14.0
C1_public_limited,W2,18-39,successful_ride_hailing_requests,10,8.6,2.75681,8.5,4.0,14.0
C1_public_limited,W2,18-39,failed_ride_hailing_requests,10,1.3,2.002776,0.5,0.0,5.0
C1_public_limited,W2,18-39,mean_ride_hailing_wait_minutes_per_request,10,11.69223,2.261907,11.313922,8.291625,15.391778
C1_public_limited,W2,18-39,fallback_attempts,10,1.3,2.002776,0.5,0.0,5.0
C1_public_limited,W2,18-39,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W2,18-39,mandatory_activity_incomplete,10,1.0,0.816497,1.0,0.0,2.0
C1_public_limited,W2,18-39,necessary_activity_completion_rate,10,0.944444,0.045361,0.944444,0.888889,1.0
C1_public_limited,W2,18-39,total_outdoor_exposure_minutes,10,974.8286,100.456587,960.394,853.058,1118.759
C1_public_limited,W2,18-39,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W2,40-59,coupon_awarded,10,3.3,1.888562,3.0,0.0,7.0
C1_public_limited,W2,40-59,coupon_redeemed,10,1.1,0.875595,1.0,0.0,2.0
C1_public_limited,W2,40-59,coupon_induced_requests,10,0.6,0.843274,0.0,0.0,2.0
C1_public_limited,W2,40-59,ride_hailing_requests,10,4.6,2.458545,4.0,1.0,10.0
C1_public_limited,W2,40-59,successful_ride_hailing_requests,10,4.4,2.270585,4.0,1.0,9.0
C1_public_limited,W2,40-59,failed_ride_hailing_requests,10,0.2,0.421637,0.0,0.0,1.0
C1_public_limited,W2,40-59,mean_ride_hailing_wait_minutes_per_request,10,12.416041,2.841069,12.388,7.5,17.469889
C1_public_limited,W2,40-59,fallback_attempts,10,0.2,0.421637,0.0,0.0,1.0
C1_public_limited,W2,40-59,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W2,40-59,mandatory_activity_incomplete,10,0.2,0.421637,0.0,0.0,1.0
C1_public_limited,W2,40-59,necessary_activity_completion_rate,10,0.987868,0.025592,1.0,0.9375,1.0
C1_public_limited,W2,40-59,total_outdoor_exposure_minutes,10,704.0109,81.697489,692.5615,599.323,834.655
C1_public_limited,W2,40-59,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W2,60+_digital,coupon_awarded,10,1.0,0.666667,1.0,0.0,2.0
C1_public_limited,W2,60+_digital,coupon_redeemed,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W2,60+_digital,coupon_induced_requests,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W2,60+_digital,ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0
C1_public_limited,W2,60+_digital,successful_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0
C1_public_limited,W2,60+_digital,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W2,60+_digital,mean_ride_hailing_wait_minutes_per_request,10,1.1,3.478505,0.0,0.0,11.0
C1_public_limited,W2,60+_digital,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W2,60+_digital,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W2,60+_digital,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W2,60+_digital,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,1.0
C1_public_limited,W2,60+_digital,total_outdoor_exposure_minutes,10,175.1337,61.545174,189.097,88.3,276.02
C1_public_limited,W2,60+_digital,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W2,60+_nondigital_assisted,coupon_awarded,10,0.7,0.674949,1.0,0.0,2.0
C1_public_limited,W2,60+_nondigital_assisted,coupon_redeemed,10,0.1,0.316228,0.0,0.0,1.0
C1_public_limited,W2,60+_nondigital_assisted,coupon_induced_requests,10,0.1,0.316228,0.0,0.0,1.0
C1_public_limited,W2,60+_nondigital_assisted,ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0
C1_public_limited,W2,60+_nondigital_assisted,successful_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0
C1_public_limited,W2,60+_nondigital_assisted,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W2,60+_nondigital_assisted,mean_ride_hailing_wait_minutes_per_request,10,1.4667,4.638113,0.0,0.0,14.667
C1_public_limited,W2,60+_nondigital_assisted,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W2,60+_nondigital_assisted,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
C1_public_limited,W2,60+_nondigital_assisted,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0
