leg_id,agent_id,date,day,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,planned_activity_start_time,earliest_feasible_departure,reliability_buffer_min,expected_arrival_time,actual_arrival_time,arrival_delay_minutes,on_time_arrival,activity_completed,metro_origin_accessible,metro_destination_accessible,origin_feeder_mode,destination_feeder_mode,bus_metro_transfer_count,feeder_bus_time_minutes,feeder_bus_wait_minutes,feeder_bus_access_minutes,feeder_bus_in_vehicle_minutes,feeder_bus_fare_yuan,metro_main_time_minutes,origin_feeder_total_time_minutes,origin_feeder_access_minutes,origin_feeder_wait_minutes,destination_feeder_total_time_minutes,destination_feeder_access_minutes,destination_feeder_wait_minutes,final_attempt_departure_time,primary_mode,primary_failed,primary_failure_reason,fallback_attempted,fallback_succeeded,final_mode,transport_succeeded,wait_minutes,failed_attempt_consumed_minutes,cumulative_wait_minutes,access_time_min,transfer_time_min,in_vehicle_time_min,total_travel_time_min,fare_yuan,final_speed_kmh,scenario_vc,weather_type_at_departure,weather_scenario,day_type,policy,outdoor_exposure_minutes,heat_hazard_dose_c_min,age_vulnerability_weight,heat_risk_burden,rain_exposure_minutes
35-2026-07-11-L04,35,2026-07-11,Saturday,return_home,activity-35-2026-07-11-008,return_home,Z8,Z2,2026-07-11 19:00:00,,,10.0,,,,,,False,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 19:00:00,bus,False,,False,False,bus,True,6.857,0.0,6.857,10.0,0.0,43.907,60.765,2.0,15.264,0.681928,normal,W0,rest_day,P0_no_policy,16.857,0.0,1.1,0.0,0.0
36-2026-07-11-L01,36,2026-07-11,Saturday,outbound,activity-36-2026-07-11-007,out_of_home_family_activity,Z6,Z3,2026-07-11 07:27:19.122060,2026-07-11 09:00:00,2026-07-11 07:00:00,10.0,2026-07-11 08:49:59.410020,2026-07-11 08:49:59.410020,0.0,True,True,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 07:27:19.122060,bus,False,,False,False,bus,True,6.429,0.0,6.429,10.0,0.0,66.243,82.671,2.0,15.125,0.713333,normal,W0,rest_day,P0_no_policy,16.429,0.0,1.1,0.0,0.0
36-2026-07-11-L02,36,2026-07-11,Saturday,between_activities,activity-36-2026-07-11-008,visit,Z3,Z3,2026-07-11 10:46:23.495280,2026-07-11 11:30:00,2026-07-11 10:00:00,10.0,2026-07-11 11:20:00,2026-07-11 11:20:00,0.0,True,True,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 10:46:23.495280,bus,False,,False,False,bus,True,7.0,0.0,7.0,8.0,0.0,18.608,33.608,2.0,17.972,0.476667,normal,W0,rest_day,P0_no_policy,15.0,0.0,1.1,0.0,0.0
36-2026-07-11-L03,36,2026-07-11,Saturday,between_activities,activity-36-2026-07-11-009,out_of_home_family_care,Z3,Z3,2026-07-11 15:59:57.216420,2026-07-11 17:00:00,2026-07-11 15:30:00,10.0,2026-07-11 16:50:00,2026-07-11 16:50:00,0.0,True,True,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 15:59:57.216420,bus,False,,False,False,bus,True,7.0,0.0,7.0,8.0,0.0,35.046,50.046,2.0,17.972,0.476667,normal,W0,rest_day,P0_no_policy,15.0,0.0,1.1,0.0,0.0
36-2026-07-11-L04,36,2026-07-11,Saturday,between_activities,activity-36-2026-07-11-010,shopping,Z3,Z6,2026-07-11 18:34:28.560000,2026-07-11 19:30:00,2026-07-11 18:00:00,5.0,2026-07-11 19:25:00,2026-07-11 19:25:00,0.0,True,True,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,50.524,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 18:34:28.560000,metro,False,,False,False,metro,True,4.5,0.0,4.5,20.0,0.0,26.024,50.524,4.0,35.001,,normal,W0,rest_day,P0_no_policy,24.5,0.0,1.1,0.0,0.0
36-2026-07-11-L05,36,2026-07-11,Saturday,return_home,activity-36-2026-07-11-010,return_home,Z6,Z6,2026-07-11 20:30:00,,,3.0,,,,,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 20:30:00,walk,False,,False,False,walk,True,0.0,0.0,0.0,0.0,0.0,41.363,41.363,0.0,4.8,,normal,W0,rest_day,P0_no_policy,41.363,0.0,1.1,0.0,0.0
37-2026-07-11-L01,37,2026-07-11,Saturday,outbound,activity-37-2026-07-11-008,out_of_home_family_activity,Z3,Z7,2026-07-11 10:26:23.855820,2026-07-11 12:00:00,2026-07-11 10:00:00,5.0,2026-07-11 11:55:00,2026-07-11 11:55:00,0.0,True,True,False,True,bus,walk,1,20.51,7.0,8.0,5.51,2.0,63.092,20.51,8.0,7.0,0.0,0.0,0.0,2026-07-11 10:26:23.855820,metro,False,,False,False,metro,True,12.0,0.0,12.0,16.0,12.0,48.602,88.602,7.0,33.069,,normal,W0,rest_day,P0_no_policy,28.0,0.0,1.1,0.0,0.0
37-2026-07-11-L02,37,2026-07-11,Saturday,between_activities,activity-37-2026-07-11-009,shopping,Z7,Z3,2026-07-11 16:57:58.955160,2026-07-11 18:30:00,2026-07-11 16:30:00,5.0,2026-07-11 18:25:00.873840,2026-07-11 18:25:00.873840,0.0,True,True,True,False,walk,bus,1,18.544,4.0,8.0,6.544,2.0,63.488,0.0,0.0,0.0,18.544,8.0,4.0,2026-07-11 16:57:58.955160,metro,False,,False,False,metro,True,7.0,0.0,7.0,16.0,14.396,49.636,87.032,7.0,32.38,,normal,W0,rest_day,P0_no_policy,23.0,0.0,1.1,0.0,0.0
37-2026-07-11-L03,37,2026-07-11,Saturday,return_home,activity-37-2026-07-11-009,return_home,Z3,Z3,2026-07-11 20:30:00,,,10.0,,,,,,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 20:30:00,bus,False,,False,False,bus,True,11.0,0.0,11.0,8.0,0.0,20.553,39.553,2.0,17.996,0.313333,normal,W0,rest_day,P0_no_policy,19.0,0.0,1.1,0.0,0.0
38-2026-07-11-L01,38,2026-07-11,Saturday,outbound,activity-38-2026-07-11-006,shopping,Z8,Z8,2026-07-11 10:19:00.421320,2026-07-11 11:00:00,2026-07-11 09:00:00,10.0,2026-07-11 10:50:00,2026-07-11 10:50:00,0.0,True,True,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-11 10:19:00.421320,bus,False,,False,False,bus,True,10.0,0.0,10.0,12.0,0.0,8.993,30.993,2.0,17.966,0.481373,normal,W0,rest_day,P0_no_policy,22.0,0.0,1.3,0.0,0.0
