policy,weather_scenario,metric,seed_count,mean,std_dev,median,minimum,maximum,baseline_access_group
D1_targeted_digital_training_75pct,W0,policy_digital_agent_count,10,6.0,0.0,6.0,6.0,6.0,elder_baseline_digital
D1_targeted_digital_training_75pct,W0,policy_assisted_agent_count,10,3.6,1.505545,4.0,1.0,5.0,elder_baseline_digital
D1_targeted_digital_training_75pct,W0,policy_proxy_agent_count,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D1_targeted_digital_training_75pct,W0,ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0,elder_baseline_digital
D1_targeted_digital_training_75pct,W0,successful_ride_hailing_requests,10,0.1,0.316228,0.0,0.0,1.0,elder_baseline_digital
D1_targeted_digital_training_75pct,W0,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D1_targeted_digital_training_75pct,W0,mean_ride_hailing_wait_minutes_per_request,1,11.0,0.0,11.0,11.0,11.0,elder_baseline_digital
D1_targeted_digital_training_75pct,W0,fallback_attempts,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D1_targeted_digital_training_75pct,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D1_targeted_digital_training_75pct,W0,planned_necessary_activities,10,1.7,0.948683,2.0,0.0,3.0,elder_baseline_digital
D1_targeted_digital_training_75pct,W0,completed_necessary_activities,10,1.7,0.948683,2.0,0.0,3.0,elder_baseline_digital
D1_targeted_digital_training_75pct,W0,mandatory_activity_incomplete,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D1_targeted_digital_training_75pct,W0,necessary_activity_completion_rate,9,1.0,0.0,1.0,1.0,1.0,elder_baseline_digital
D1_targeted_digital_training_75pct,W0,walking_legs,10,0.0,0.0,0.0,0.0,0.0,elder_baseline_digital
D1_targeted_digital_training_75pct,W0,bus_legs,10,7.9,2.726414,8.0,5.0,13.0,elder_baseline_digital
D1_targeted_digital_training_75pct,W0,metro_legs,10,1.4,2.1187,1.0,0.0,7.0,elder_baseline_digital
