policy,baseline_policy,weather_scenario,metric,baseline_mean,policy_mean,absolute_change,percent_change,percent_change_defined,undefined_reason,baseline_access_group
D1_targeted_digital_training_75pct,D0_baseline,W2,total_outdoor_exposure_minutes,709.6142,709.6142,0.0,0.0,True,,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,completed_necessary_activities,16.0,16.0,0.0,0.0,True,,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,necessary_activity_completion_rate,0.994118,0.994118,0.0,0.0,True,,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,ride_hailing_requests,4.0,4.0,0.0,0.0,True,,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,mean_total_travel_time,67.434746,67.434746,0.0,0.0,True,,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,failed_ride_hailing_requests,0.1,0.1,0.0,0.0,True,,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,ride_hailing_legs,3.9,3.9,0.0,0.0,True,,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,walking_legs,0.1,0.1,0.0,0.0,True,,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,policy_assisted_agent_count,0.0,0.0,0.0,,False,baseline_zero,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,successful_ride_hailing_requests,3.9,3.9,0.0,0.0,True,,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,policy_proxy_agent_count,0.0,0.0,0.0,,False,baseline_zero,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,policy_digital_agent_count,17.0,17.0,0.0,0.0,True,,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,metro_legs,18.2,18.2,0.0,0.0,True,,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,mandatory_activity_incomplete,0.1,0.1,0.0,0.0,True,,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,planned_necessary_activities,16.1,16.1,0.0,0.0,True,,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,mean_ride_hailing_wait_minutes_per_request,12.687228,12.687228,0.0,0.0,True,,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,fallback_attempts,0.1,0.1,0.0,0.0,True,,40-59
D1_targeted_digital_training_75pct,D0_baseline,W2,transport_unmet,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,bus_legs,7.3,7.3,0.0,0.0,True,,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,total_outdoor_exposure_minutes,175.1337,175.1337,0.0,0.0,True,,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,completed_necessary_activities,1.7,1.7,0.0,0.0,True,,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,necessary_activity_completion_rate,1.0,1.0,0.0,0.0,True,,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,ride_hailing_requests,0.1,0.1,0.0,0.0,True,,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,mean_total_travel_time,63.057092,63.057092,0.0,0.0,True,,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,failed_ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,ride_hailing_legs,0.1,0.1,0.0,0.0,True,,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,walking_legs,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,policy_assisted_agent_count,3.6,3.6,0.0,0.0,True,,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,successful_ride_hailing_requests,0.1,0.1,0.0,0.0,True,,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,policy_proxy_agent_count,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,policy_digital_agent_count,6.0,6.0,0.0,0.0,True,,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,metro_legs,1.7,1.7,0.0,0.0,True,,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,mandatory_activity_incomplete,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,planned_necessary_activities,1.7,1.7,0.0,0.0,True,,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,mean_ride_hailing_wait_minutes_per_request,11.0,11.0,0.0,0.0,True,,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,fallback_attempts,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_digital
D1_targeted_digital_training_75pct,D0_baseline,W2,transport_unmet,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,bus_legs,5.1,5.1,0.0,0.0,True,,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,total_outdoor_exposure_minutes,123.1488,123.1488,0.0,0.0,True,,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,completed_necessary_activities,1.2,1.2,0.0,0.0,True,,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,necessary_activity_completion_rate,1.0,1.0,0.0,0.0,True,,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,mean_total_travel_time,54.946698,54.946698,0.0,0.0,True,,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,failed_ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,ride_hailing_legs,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,walking_legs,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,policy_assisted_agent_count,4.9,4.9,0.0,0.0,True,,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,successful_ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,policy_proxy_agent_count,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,policy_digital_agent_count,0.0,2.7,2.7,,False,baseline_zero,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,metro_legs,1.2,1.2,0.0,0.0,True,,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,mandatory_activity_incomplete,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,planned_necessary_activities,1.2,1.2,0.0,0.0,True,,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,fallback_attempts,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_assisted
D1_targeted_digital_training_75pct,D0_baseline,W2,transport_unmet,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,bus_legs,2.444444,2.444444,0.0,0.0,True,,elder_baseline_nondigital_unassisted
