seed,weather_scenario,leg_id,agent_id,age_group,group,shared_request,p0_succeeded,p4_succeeded,benefited_failure_to_success,harmed_success_to_failure,pickup_wait_change_minutes,wait_improved,wait_worsened,base_dispatch_priority_identical
51,W2,7-2026-07-07-L02,7,18-39,18-39,True,True,True,False,False,0.0,False,False,True
52,W0,16-2026-07-07-L02,16,18-39,18-39,True,True,True,False,False,0.0,False,False,True
52,W0,2-2026-07-07-L02,2,18-39,18-39,True,True,True,False,False,0.0,False,False,True
52,W0,22-2026-07-07-L02,22,40-59,40-59,True,True,True,False,False,0.0,False,False,True
52,W0,24-2026-07-07-L02,24,40-59,40-59,True,True,True,False,False,0.0,False,False,True
52,W0,3-2026-07-07-L03,3,18-39,18-39,True,True,True,False,False,0.0,False,False,True
52,W0,32-2026-07-07-L01,32,40-59,40-59,True,True,True,False,False,0.0,False,False,True
52,W0,5-2026-07-07-L02,5,18-39,18-39,True,True,True,False,False,0.0,False,False,True
52,W2,12-2026-07-07-L01,12,18-39,18-39,True,True,True,False,False,0.0,False,False,True
52,W2,12-2026-07-07-L02,12,18-39,18-39,True,True,True,False,False,0.0,False,False,True
52,W2,14-2026-07-07-L01,14,18-39,18-39,True,True,True,False,False,0.0,False,False,True
52,W2,16-2026-07-07-L01,16,18-39,18-39,True,True,True,False,False,0.0,False,False,True
52,W2,16-2026-07-07-L02,16,18-39,18-39,True,True,True,False,False,0.0,False,False,True
52,W2,2-2026-07-07-L02,2,18-39,18-39,True,True,True,False,False,0.0,False,False,True
52,W2,22-2026-07-07-L02,22,40-59,40-59,True,True,True,False,False,0.0,False,False,True
52,W2,24-2026-07-07-L01,24,40-59,40-59,True,True,True,False,False,0.0,False,False,True
52,W2,24-2026-07-07-L02,24,40-59,40-59,True,True,True,False,False,0.0,False,False,True
52,W2,28-2026-07-07-L02,28,40-59,40-59,True,True,True,False,False,0.0,False,False,True
52,W2,29-2026-07-07-L01,29,40-59,40-59,True,True,True,False,False,0.0,False,False,True
52,W2,3-2026-07-07-L03,3,18-39,18-39,True,True,True,False,False,0.0,False,False,True
52,W2,32-2026-07-07-L01,32,40-59,40-59,True,True,True,False,False,0.0,False,False,True
52,W2,5-2026-07-07-L01,5,18-39,18-39,True,True,True,False,False,0.0,False,False,True
52,W2,5-2026-07-07-L02,5,18-39,18-39,True,True,True,False,False,0.0,False,False,True
52,W2,6-2026-07-07-L03,6,18-39,18-39,True,True,True,False,False,0.0,False,False,True
52,W2,8-2026-07-07-L01,8,18-39,18-39,True,True,True,False,False,0.0,False,False,True
