policy,baseline_policy,weather_scenario,group,metric,baseline_mean,policy_mean,absolute_change,percent_change,percent_change_defined,undefined_reason
P4_elder_priority,P0_first_come,W2,elder_nondigital_assisted,fallback_attempts,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_nondigital_assisted,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_nondigital_assisted,planned_necessary_activities,1.2,1.2,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_nondigital_assisted,completed_necessary_activities,1.2,1.2,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_nondigital_assisted,necessary_activity_completion_rate,1.0,1.0,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_nondigital_assisted,walking_legs,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_nondigital_assisted,bus_legs,5.1,5.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_nondigital_assisted,metro_legs,1.2,1.2,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_nondigital_assisted,ride_hailing_legs,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_nondigital_assisted,mean_total_travel_time,54.946698,54.946698,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_nondigital_assisted,total_outdoor_exposure_minutes,123.1488,123.1488,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_nondigital_assisted,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_nondigital_unassisted,ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_nondigital_unassisted,successful_ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_nondigital_unassisted,failed_ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_nondigital_unassisted,mean_ride_hailing_wait_minutes_per_request,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_nondigital_unassisted,fallback_attempts,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_nondigital_unassisted,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_nondigital_unassisted,planned_necessary_activities,0.4,0.4,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_nondigital_unassisted,completed_necessary_activities,0.4,0.4,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_nondigital_unassisted,necessary_activity_completion_rate,1.0,1.0,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_nondigital_unassisted,walking_legs,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_nondigital_unassisted,bus_legs,2.2,2.2,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_nondigital_unassisted,metro_legs,1.2,1.2,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_nondigital_unassisted,ride_hailing_legs,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_nondigital_unassisted,mean_total_travel_time,53.396367,53.396367,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_nondigital_unassisted,total_outdoor_exposure_minutes,74.8913,74.8913,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_nondigital_unassisted,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
