seed,policy,weather_scenario,day_type,group,agent_count,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_success_rate,mean_ride_hailing_wait_minutes_per_request,fallback_attempts,transport_unmet,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,mean_total_travel_time,total_outdoor_exposure_minutes,total_heat_risk_burden
55,P0_first_come,W2,workday,elder_nondigital_unassisted,1,0,0,0,,0.0,0,0,1,1,1.0,0,2,0,0,49.962,44.0,0.0
55,P4_elder_priority,W0,workday,18-39,20,1,1,0,1.0,10.667,0,0,18,17,0.944444,0,18,24,1,64.149953,904.363,0.0
55,P4_elder_priority,W0,workday,40-59,17,1,1,0,1.0,7.591,0,0,16,15,0.9375,0,18,15,1,64.356235,689.775,0.0
55,P4_elder_priority,W0,workday,elder_digital,6,0,0,0,,0.0,0,0,2,2,1.0,0,13,1,0,67.742,247.772,0.0
55,P4_elder_priority,W0,workday,elder_nondigital_assisted,6,0,0,0,,0.0,0,0,1,1,1.0,0,9,2,0,53.418273,219.415,0.0
55,P4_elder_priority,W0,workday,elder_nondigital_unassisted,1,0,0,0,,0.0,0,0,1,1,1.0,0,3,0,0,47.172667,61.714,0.0
55,P4_elder_priority,W2,workday,18-39,20,5,5,0,1.0,10.7218,0,0,18,16,0.888889,0,7,30,5,64.536024,980.348,0.0
55,P4_elder_priority,W2,workday,40-59,17,2,2,0,1.0,9.879,0,0,16,16,1.0,0,12,18,2,64.935531,682.493,0.0
55,P4_elder_priority,W2,workday,elder_digital,6,0,0,0,,0.0,0,0,2,2,1.0,0,11,3,0,69.250429,276.02,0.0
55,P4_elder_priority,W2,workday,elder_nondigital_assisted,6,0,0,0,,0.0,0,0,1,1,1.0,0,9,2,0,56.669545,218.625,0.0
55,P4_elder_priority,W2,workday,elder_nondigital_unassisted,1,0,0,0,,0.0,0,0,1,1,1.0,0,2,0,0,49.962,44.0,0.0
56,P0_first_come,W0,workday,18-39,20,6,6,0,1.0,11.055667,0,0,18,18,1.0,0,19,19,6,61.996523,847.06,0.0
56,P0_first_come,W0,workday,40-59,17,0,0,0,,0.0,0,0,16,15,0.9375,1,22,10,0,69.531,610.683,0.0
56,P0_first_come,W0,workday,elder_digital,6,0,0,0,,0.0,0,0,2,2,1.0,0,9,0,0,55.105778,182.214,0.0
56,P0_first_come,W0,workday,elder_nondigital_assisted,5,0,0,0,,0.0,0,0,3,3,1.0,0,7,1,0,66.7385,156.857,0.0
56,P0_first_come,W0,workday,elder_nondigital_unassisted,2,0,0,0,,0.0,0,0,0,0,,0,3,0,0,29.644333,39.8,0.0
56,P0_first_come,W2,workday,18-39,20,10,9,1,0.9,11.1834,1,0,18,17,0.944444,0,9,25,9,63.764023,943.767,0.0
