policy,baseline_policy,weather_scenario,metric,baseline_mean,policy_mean,absolute_change,percent_change,percent_change_defined,undefined_reason
C3_mixed,C0_no_coupon,W1,fallback_attempts,0.0,0.2,0.2,,False,baseline_zero
C3_mixed,C0_no_coupon,W1,fallback_succeeded,0.0,0.2,0.2,,False,baseline_zero
C3_mixed,C0_no_coupon,W1,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W1,mandatory_activity_incomplete,3.3,3.3,0.0,0.0,True,
C3_mixed,C0_no_coupon,W1,activity_completion_rate,0.957545,0.957564,1.9e-05,0.001984,True,
C3_mixed,C0_no_coupon,W1,necessary_activity_completion_rate,0.977543,0.977529,-1.4e-05,-0.001432,True,
C3_mixed,C0_no_coupon,W1,walking_mode_share,0.013176,0.013176,0.0,0.0,True,
C3_mixed,C0_no_coupon,W1,bus_mode_share,0.550391,0.537488,-0.012903,-2.344333,True,
C3_mixed,C0_no_coupon,W1,metro_mode_share,0.357505,0.35567,-0.001835,-0.51328,True,
C3_mixed,C0_no_coupon,W1,ride_hailing_mode_share,0.078928,0.093667,0.014739,18.673981,True,
C3_mixed,C0_no_coupon,W1,mean_total_travel_time,62.3543,61.9772,-0.3771,-0.60477,True,
C3_mixed,C0_no_coupon,W1,mean_road_speed_kmh,17.7907,18.1041,0.3134,1.761595,True,
C3_mixed,C0_no_coupon,W1,total_outdoor_exposure_minutes,7119.5198,7067.6803,-51.8395,-0.728132,True,
C3_mixed,C0_no_coupon,W1,total_heat_risk_burden,55997.738135,55535.777542,-461.960593,-0.824963,True,
C3_mixed,C0_no_coupon,W2,coupon_reached,0.0,195.6,195.6,,False,baseline_zero
C3_mixed,C0_no_coupon,W2,coupon_participated,0.0,128.6,128.6,,False,baseline_zero
C3_mixed,C0_no_coupon,W2,coupon_awarded,0.0,40.0,40.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W2,coupon_redeemed,0.0,14.2,14.2,,False,baseline_zero
C3_mixed,C0_no_coupon,W2,coupon_induced_requests,0.0,8.0,8.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W2,coupon_ineligible_ride_requests,0.0,0.0,0.0,,False,baseline_zero
C3_mixed,C0_no_coupon,W2,coupon_subsidy_yuan,0.0,99.82,99.82,,False,baseline_zero
C3_mixed,C0_no_coupon,W2,ride_hailing_requests,64.8,72.8,8.0,12.345679,True,
C3_mixed,C0_no_coupon,W2,successful_ride_hailing_requests,63.2,69.8,6.6,10.443038,True,
C3_mixed,C0_no_coupon,W2,ride_hailing_failed,1.6,3.0,1.4,87.5,True,
C3_mixed,C0_no_coupon,W2,mean_ride_hailing_wait_minutes_per_request,11.377154,11.508577,0.131423,1.155148,True,
