policy,weather_scenario,group,metric,mean,ci95_half_width,seed_count
C2_elder_limited,W2,60+_nondigital_assisted,necessary_activity_completion_rate,0.980000,0.045240,10
C2_elder_limited,W2,60+_nondigital_assisted,ride_hailing_requests,0.500000,0.377000,10
C2_elder_limited,W2,60+_nondigital_assisted,failed_ride_hailing_requests,0.000000,0.000000,10
C2_elder_limited,W2,60+_nondigital_assisted,coupon_redeemed,0.500000,0.377000,10
C2_elder_limited,W2,60+_nondigital_assisted,total_heat_risk_burden,0.000000,0.000000,10
C2_elder_limited,W2,60+_nondigital_unassisted,necessary_activity_completion_rate,0.950000,0.113100,10
C2_elder_limited,W2,60+_nondigital_unassisted,ride_hailing_requests,0.000000,0.000000,10
C2_elder_limited,W2,60+_nondigital_unassisted,failed_ride_hailing_requests,0.000000,0.000000,10
C2_elder_limited,W2,60+_nondigital_unassisted,coupon_redeemed,0.000000,0.000000,10
C2_elder_limited,W2,60+_nondigital_unassisted,total_heat_risk_burden,0.000000,0.000000,10
C3_mixed,W0,18-39,necessary_activity_completion_rate,0.980802,0.008257,10
C3_mixed,W0,18-39,ride_hailing_requests,20.900000,3.924423,10
C3_mixed,W0,18-39,failed_ride_hailing_requests,0.100000,0.226200,10
C3_mixed,W0,18-39,coupon_redeemed,4.900000,1.141009,10
C3_mixed,W0,18-39,total_heat_risk_burden,0.000000,0.000000,10
C3_mixed,W0,40-59,necessary_activity_completion_rate,0.969528,0.015521,10
C3_mixed,W0,40-59,ride_hailing_requests,6.000000,1.719385,10
C3_mixed,W0,40-59,failed_ride_hailing_requests,0.100000,0.226200,10
C3_mixed,W0,40-59,coupon_redeemed,1.100000,0.787199,10
C3_mixed,W0,40-59,total_heat_risk_burden,0.000000,0.000000,10
C3_mixed,W0,60+_digital,necessary_activity_completion_rate,1.000000,0.000000,10
C3_mixed,W0,60+_digital,ride_hailing_requests,0.400000,0.369383,10
C3_mixed,W0,60+_digital,failed_ride_hailing_requests,0.000000,0.000000,10
C3_mixed,W0,60+_digital,coupon_redeemed,0.200000,0.301600,10
C3_mixed,W0,60+_digital,total_heat_risk_burden,0.000000,0.000000,10
C3_mixed,W0,60+_nondigital_assisted,necessary_activity_completion_rate,1.000000,0.000000,10
C3_mixed,W0,60+_nondigital_assisted,ride_hailing_requests,0.200000,0.301600,10
C3_mixed,W0,60+_nondigital_assisted,failed_ride_hailing_requests,0.000000,0.000000,10
C3_mixed,W0,60+_nondigital_assisted,coupon_redeemed,0.100000,0.226200,10
C3_mixed,W0,60+_nondigital_assisted,total_heat_risk_burden,0.000000,0.000000,10
C3_mixed,W0,60+_nondigital_unassisted,necessary_activity_completion_rate,1.000000,0.000000,10
C3_mixed,W0,60+_nondigital_unassisted,ride_hailing_requests,0.000000,0.000000,10
C3_mixed,W0,60+_nondigital_unassisted,failed_ride_hailing_requests,0.000000,0.000000,10
C3_mixed,W0,60+_nondigital_unassisted,coupon_redeemed,0.000000,0.000000,10
C3_mixed,W0,60+_nondigital_unassisted,total_heat_risk_burden,0.000000,0.000000,10
C3_mixed,W1,18-39,necessary_activity_completion_rate,0.980802,0.008257,10
C3_mixed,W1,18-39,ride_hailing_requests,22.600000,4.241208,10
C3_mixed,W1,18-39,failed_ride_hailing_requests,0.100000,0.226200,10
C3_mixed,W1,18-39,coupon_redeemed,5.000000,1.215788,10
