source_decision_sequence,source_agent_id,source_leg_id,target_decision_sequence,target_agent_id,target_leg_id,shared_state_key,mechanism,source_flow_contribution_pcu_per_hour,target_probability_delta
46,121,121-2026-07-07-L01,51,50,50-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.015704807, ""metro"": 0.0, ""ride_hailing"": 0.015704807}"
48,81,81-2026-07-07-L01,51,50,50-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.015704807, ""metro"": 0.0, ""ride_hailing"": 0.015704807}"
49,93,93-2026-07-07-L01,51,50,50-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.015704807, ""metro"": 0.0, ""ride_hailing"": 0.015704807}"
46,121,121-2026-07-07-L01,52,9,9-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.000103756, ""ride_hailing"": -0.000103756}"
48,81,81-2026-07-07-L01,52,9,9-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.000103756, ""ride_hailing"": -0.000103756}"
49,93,93-2026-07-07-L01,52,9,9-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.000103756, ""ride_hailing"": -0.000103756}"
51,50,50-2026-07-07-L01,52,9,9-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": 0.0, ""metro"": 0.000103756, ""ride_hailing"": -0.000103756}"
46,121,121-2026-07-07-L01,53,30,30-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.026549571, ""metro"": 0.034640946, ""ride_hailing"": -0.008091375}"
48,81,81-2026-07-07-L01,53,30,30-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.026549571, ""metro"": 0.034640946, ""ride_hailing"": -0.008091375}"
49,93,93-2026-07-07-L01,53,30,30-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.026549571, ""metro"": 0.034640946, ""ride_hailing"": -0.008091375}"
51,50,50-2026-07-07-L01,53,30,30-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.026549571, ""metro"": 0.034640946, ""ride_hailing"": -0.008091375}"
46,121,121-2026-07-07-L01,54,168,168-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.047830672, ""metro"": 0.0477356, ""ride_hailing"": 9.5072e-05}"
48,81,81-2026-07-07-L01,54,168,168-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.047830672, ""metro"": 0.0477356, ""ride_hailing"": 9.5072e-05}"
49,93,93-2026-07-07-L01,54,168,168-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.047830672, ""metro"": 0.0477356, ""ride_hailing"": 9.5072e-05}"
51,50,50-2026-07-07-L01,54,168,168-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.047830672, ""metro"": 0.0477356, ""ride_hailing"": 9.5072e-05}"
46,121,121-2026-07-07-L01,55,97,97-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.021149219, ""metro"": 0.0, ""ride_hailing"": 0.021149219}"
48,81,81-2026-07-07-L01,55,97,97-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.021149219, ""metro"": 0.0, ""ride_hailing"": 0.021149219}"
49,93,93-2026-07-07-L01,55,97,97-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.021149219, ""metro"": 0.0, ""ride_hailing"": 0.021149219}"
51,50,50-2026-07-07-L01,55,97,97-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.021149219, ""metro"": 0.0, ""ride_hailing"": 0.021149219}"
46,121,121-2026-07-07-L01,56,75,75-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.005901106, ""metro"": 0.013732452, ""ride_hailing"": -0.007831346}"
48,81,81-2026-07-07-L01,56,75,75-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.005901106, ""metro"": 0.013732452, ""ride_hailing"": -0.007831346}"
49,93,93-2026-07-07-L01,56,75,75-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.005901106, ""metro"": 0.013732452, ""ride_hailing"": -0.007831346}"
51,50,50-2026-07-07-L01,56,75,75-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.005901106, ""metro"": 0.013732452, ""ride_hailing"": -0.007831346}"
55,97,97-2026-07-07-L01,56,75,75-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.005901106, ""metro"": 0.013732452, ""ride_hailing"": -0.007831346}"
46,121,121-2026-07-07-L01,57,92,92-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.033501027, ""metro"": 0.0, ""ride_hailing"": 0.033501027}"
48,81,81-2026-07-07-L01,57,92,92-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.033501027, ""metro"": 0.0, ""ride_hailing"": 0.033501027}"
49,93,93-2026-07-07-L01,57,92,92-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.033501027, ""metro"": 0.0, ""ride_hailing"": 0.033501027}"
51,50,50-2026-07-07-L01,57,92,92-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.033501027, ""metro"": 0.0, ""ride_hailing"": 0.033501027}"
55,97,97-2026-07-07-L01,57,92,92-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.033501027, ""metro"": 0.0, ""ride_hailing"": 0.033501027}"
46,121,121-2026-07-07-L01,58,47,47-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.028176572, ""metro"": 0.041113263, ""ride_hailing"": -0.012936691}"
48,81,81-2026-07-07-L01,58,47,47-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.028176572, ""metro"": 0.041113263, ""ride_hailing"": -0.012936691}"
49,93,93-2026-07-07-L01,58,47,47-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.028176572, ""metro"": 0.041113263, ""ride_hailing"": -0.012936691}"
51,50,50-2026-07-07-L01,58,47,47-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.028176572, ""metro"": 0.041113263, ""ride_hailing"": -0.012936691}"
55,97,97-2026-07-07-L01,58,47,47-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.028176572, ""metro"": 0.041113263, ""ride_hailing"": -0.012936691}"
57,92,92-2026-07-07-L01,58,47,47-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.028176572, ""metro"": 0.041113263, ""ride_hailing"": -0.012936691}"
46,121,121-2026-07-07-L01,59,57,57-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.000497902, ""metro"": 0.002102282, ""ride_hailing"": -0.001604379}"
48,81,81-2026-07-07-L01,59,57,57-2026-07-07-L01,nine_zone_representative|all|2026-07-07T07:30,ride_hailing_choice_to_shared_road_flow_to_mode_probability,30.0,"{""walk"": 0.0, ""bus"": -0.000497902, ""metro"": 0.002102282, ""ride_hailing"": -0.001604379}"
